question_id,query,gold_answer,model_answer,is_correct
1.0,"Useful aspects for strengthening of Panchayat Raj system: Answer Choices: (a) 73rd Constitution Amendment., (b) 33% reservation of women and backward classes., (c) Fund available for economic development schemes from State Finance Commission.",3,"1. (a) 73rd Constitution Amendment. 
2. (b) 33% reservation of women and backward classes. 
3. (c) Fund available for economic development schemes from State Finance Commission. 

Please choose the correct answer.",False
2.0,"Which of the following statements is/are not correct ?  Answer Choices: (a) Rural Co-operative societies provide agricultural products with loans., (b)India becomes the world's largest milk producing country due to rural co-operative societies., (c)The purpose of rural Co-operative societies is only economic development. 
",2,3,False
3.0,"Human Resources Development means : Answer Choices: (a) Human Resource Development is a process of enhancement of knowledge, skill and capacity building of people., (b) There is a need for policy, planning and programs to develop human capacity in Human Resources Development., (c) Human resources make individuals capable of improving the quality of life either individually or collectively.

Which of the statement(s) given above is/are incorrect ?",4,2,False
4.0,"The main objective of the Rashtriy Paiyjal Programme is to : Answer Choices: (a) Provide clean water to every rural person.,
(b) Providing water in clean, adequate and sustainable facility for cooking and domestic use in rural areas.

Which of the statement(s) given above is/are incorrect ?
",4,2,False
5.0,"Which of the following sentence are correct ? : Answer Choices: (a) Natural resources are important to economic development in 21st century.,
(b) Education and health development are essential in the development of human resources.


",2,2,True
6.0,"Which one of the following statements is correct ? Answer Choices: (a) Unemployment that is visible in agriculture sector is disguised unemployment., (b) Seasonal unemployment appears in industries which are dependent on agriculture. 

",3,1,False
7.0,"Which are the social component of health according to WHO? Answer Choices: (a) Gender discrimination, (b) Sewage facility, (c) Environmental nutrition, (d) Social stability
",2,4,False
8.0,"Dindayal Upadhyay Gram Jyoti Yojana started on 25th September 2014 because of : Answer Choices: (a) To supply electricity to all villages upto 1st May 2018 ;, (b) To separate electricity supply for agriculture and domestic use., (c)  This scheme was started to set up meter everywhere to prevent electricity leakage.

Which of the statement(s) given above is/are correct ?",1,1,True
9.0,"What is the aim of Dindayal Upadhyay Kaushlya Vikas Scheme ? Answer Choices: (1) Train rural youth and help them to get job in different companies., (2) Train Scheduled Castes and Scheduled Tribes Youth and help them to get employment., (3) Train youth in urban areas and help them to get the job., (4) Train unemployed youth and help them to get job.
",1,2,False
10.0,"Statement on industrial Training Institutes of India (ITI) : Answer Choices: (a) Provides vocational education to less educated youth., (b) To serve the need of skilled workers in unorganized field., (c)  Control and Fund availability from central government. 
",1,2,False
11.0,"Which of the following statements is not correct related to India's Unemployment ? Answer Choices: (1) Increasing Automization are increasing the employment., (2) In Kerala the rate of labour force was reduced but the rate of employment reduced., (3) Decrease employment in rural area than urban area. (4) Increased employment opportunities in industry and service sector with economic development.
",1,2,False
12.0,"Which sentence are not correct about measures of reduce under unemployment ? Answer Choices: (a) Conversion of labour force into skilled human resource., (b) Focus on traditionalism in higher education., (c) Include vocational and skill education in higher education.
",2,2,True
13.0,"Which of the following thinkers described caste system, structure of family-kinship, religion and populist politics are responsible factors for poverty in India ? Answer Choices:(a) Joseph Schumpeter, (b). Max Weber, (c) Arthur Louise, (d) Gunnar Myrdal

Which of the option(s) given above is/are incorrect ?
",2,2,True
14.0,"A child whose weight below 3SD is called : Answer Choices: (1) Moderate Acute Malnutrition, (2) Severe Acute Malnutrition, (3) Severe Under Weight, (4) None of these
",2,2,True
15.0,"Which section of The University Grants Commission Act, 1956 describe the functions of UGC ? Answer Choices: 
(1) Section - I, (2) Section - II, (3) Section - III, (4) Section - IV
",3,2,False
16.0,"The following information about the Swayam Prabha (Kishor Munch) DTH TV channel is as follows. Answer Choices: (a) This facility was created by CBSE., (b) Literary materials are broadcasted through 32 National Channels., (c) Designed to save the administrative work hours of the schools.

Which of the statements given above is/are correct about Swayam Prabha ?
",3,2,False
17.0,"Under which scheme, pregnant women are given 5,000 for not being allowed to work in the last stages of pregnancy. Answer Choices: (a) Pradhanmantri Swadhar Yojana., (b) Pradhanmantri Matru Vandana Yojana., (c) Pradhanmantri Surakshit Matrutva Yojana., (d) Pradhanmantri Jan Aushadhi Yojana.

Which of the option(s) given above is/are correct ?
",2,2,True
18.0,"Which of the following is not included in Human Resource Development ? Answer Choices: (a) To increase the investment on Industries and roads., (b) Expenditure on education and health facilities to increase by more than 3% of national income., (c) Prioritizing social benefit programme.
",1,1,True
19.0,"Which of the following functions is done by the All India Council of Technical Education ? Answer Choices: (a) To give approval to start new professional and technical educational institutes., (b) To decide criteria of technical education., (c) To evaluate technical education.

Which of the statement(s) given above is/ are correct ?
",4,1. (a) only,False
20.0,"Which of the following council plans school education, book publication and management ? Answer Choices: (1) National Research Institution, (2) National Council of Educational Research and Training, (3) University Grants Commission, (4) Indian Technological Council
",2,2,True
21.0,"Which of the following is not included in Ministry for Human Resources and Development (MHRD) - IPR Chair ? Answer Choices: (1) IPR Chairs in Universities, (2) IPR Chairs in NREGs, (3) IPR Chairs in IIT's, (4) IPR Chairs in TIM's
",2,2,True
22.0,"Because the central government developed the MKisan Portal : Answer Choices: (a) To predict weather and rain forecast for farmers., (b) For information on crop technology., (c) To understand market prices., (d) To get information of animal husbandry, fisheries etc. 

Which of the statement(s) given above is/are correct ?",3,4,False
23.0,"Which of the following statement/s is/are correct ? Answer Choices: (a) Health is a center of complete development., (b) Health gives more productivity and economic security to country., (c) Universal health care is a objective of sustainable development.",4,3,False
24.0,"Because AIDS Day is celebrated since 1st December 1992 : Answer Choices:  (a) To provide mental support to AIDS patients;, (b)  To provide drug treatment facility;, (c) To guide AIDS control;, (d) This day is celebrated for providing health and sex education.

Which of the option(s) given above is/ are incorrect ? ",4,3,False
25.0,"Match the following :
      (State)                                    (Water conservation scheme)
(a)  Andhra Pradesh                  (i) Kapildhar Vihiri
(b)  Telangana                            (ii) Mission Kaktiy
(c)  Madhya Pradesh                (iii) Jalyukt Shivar
(d)  Maharashtra                       (iv) Niru Chetu
",2,2,True
26.0,"To attain rural development through industrialisation following recommendation is made by which Committee : ""state government should be given responsibility of providing basic facilities for industrial development and supply of raw material in rural areas"".Answer Choices: (1) Shivraman Committee, (2) Regional Co-ordination Committee, (3) Gorawala Committee, (4) Balwantray Mehta Committee
",1,3,False
